,Version,Ann_Return,Ann_Vol,Sharpe,Max_DD,Days_Active,Total_Days
0,v1 (no filter),0.06041763958147106,0.10747323638731254,0.5621645128814926,-0.10897851992771568,659,754
1,v2 (OU filter),-0.018527953998957125,0.02732276792786667,-0.6781140932672617,-0.08885038501371272,169,754
