date,daily_return,cumulative_return
2025-01-03,0.0,1.0
2025-01-06,0.0,1.0
2025-01-07,0.0,1.0
2025-01-08,-0.001,0.999
2025-01-10,-0.007289764325810355,0.9917175254385155
2025-01-13,-0.0006430890408925805,0.9910797627662449
2025-01-14,-0.0015514690588652735,0.9895421331794455
2025-01-15,0.0023169632499204645,0.9918348659362702
2025-01-16,0.00033980943453926216,0.9921719007812204
2025-01-17,-0.0002674419873992806,0.9919065523562338
2025-01-21,0.00397633399325778,0.995850704098503
2025-01-22,0.004371857261380285,1.0002044212304666
2025-01-23,0.0040545929309449835,1.0042598430062877
2025-01-24,-0.0025336543738859463,1.0017153956625366
2025-01-27,0.0016075062733945655,1.0033256594452202
2025-01-28,0.0013643394029782124,1.0046945361764206
2025-01-29,-0.0037462426104857144,1.0009307066944744
2025-01-30,-0.0031365929970949558,0.9977911944492791
2025-01-31,-0.006144424961520677,0.9916603413277194
2025-02-03,0.003658832004089438,0.9952886599217554
2025-02-04,0.0009026462056881696,0.9961870534541983
2025-02-05,0.0015597810502522855,0.9977408871426829
2025-02-06,-0.0017743140977128091,0.9959705814207612
2025-02-07,0.007011552169111507,1.002953881111293
2025-02-10,-0.017584576388769424,0.9853173619744787
2025-02-11,-0.020569223718255092,0.9650501487225447
2025-02-12,-0.03953345248911383,0.9268983845184098
2025-02-13,0.0028970212945392823,0.9295836288762338
2025-02-14,0.021952213282532468,0.9499900469612754
2025-02-18,0.0023838541825718373,0.9522546847081257
2025-02-19,0.00040501300787262884,0.9526403602422401
2025-02-20,0.014342565897482049,0.9663036673856155
2025-02-21,0.008074509153638276,0.9741060951931149
2025-02-24,0.011554362095224563,0.9853612697361414
2025-02-25,0.007864922990814094,0.9931110602407469
2025-02-26,-0.014591525515815343,0.9786200548652056
2025-02-27,0.000496494697271338,0.9791059345330897
2025-02-28,0.00494407595097196,0.9839467086374687
2025-03-03,0.0017722443706564839,0.9856905026528774
2025-03-04,0.009964396586369342,0.9955123137327284
2025-03-05,0.0028863400000045947,0.9983857007443523
2025-03-06,0.00449203218499511,1.0028704814451348
2025-03-07,-0.0037714897754384524,0.9990881656782755
2025-03-10,0.0071498102325151525,1.006231456468427
2025-03-11,-0.012093588878197697,0.9940625069175877
2025-03-12,-0.007390515712205822,0.9867158723412985
2025-03-13,0.003576548499650209,0.9902449095141018
2025-03-14,0.0006012869466091864,0.9908403308521389
2025-03-17,0.002891487810391946,0.9937053335908427
2025-03-18,-0.0031091195708669167,0.9906157848905006
2025-03-19,-0.0027906450943060435,0.9878513278100538
2025-03-20,-0.00793025423659513,0.9800174156325621
2025-03-21,0.0021037267092142986,0.9820791044453234
2025-03-24,0.001748682787195005,0.9837964492709309
2025-03-25,-0.0026144892896187016,0.9812243239911471
2025-03-26,0.002322090311511621,0.9835028154873064
2025-03-27,-0.002095944979890879,0.9814414476984773
2025-03-28,0.0015986928088945057,0.9830104710832638
2025-03-31,-0.008296621154603445,0.9748548056136778
2025-04-01,-0.003307299099533506,0.9716306691928958
2025-04-02,0.0023993694049528197,0.9739619700934711
2025-04-03,-0.006779534807442589,0.967358961016097
2025-04-04,0.008103113482072419,0.9751975804551101
2025-04-07,-0.0006369891451369486,0.9745763901819963
2025-04-08,-0.014071326490746716,0.9608628076055721
2025-04-09,0.022140226904791838,0.9821365281903348
2025-04-10,-0.021261813059085255,0.9612545249294528
2025-04-11,-0.004156286124288726,0.9572592760855788
2025-04-14,0.004614041310551792,0.9616761099303466
2025-04-15,-0.01479479080062629,0.947448313065967
2025-04-16,-0.01832047627224255,0.9300906087272657
2025-04-17,-0.0021476820645494055,0.9280930698084963
2025-04-21,0.011531284121346935,0.9387951746875111
2025-04-22,-0.0017782099344519353,0.9371257997814663
2025-04-23,0.005749681749354252,0.9425139748893189
2025-04-24,-0.03152840830067932,0.9127980094599123
2025-04-25,-0.012483596852412612,0.9014030071021301
2025-04-28,0.016439668849782166,0.9162217740390869
2025-04-29,-0.007770105289567647,0.9091026343862088
2025-04-30,0.00770239976101722,0.9161049063000453
2025-05-01,0.0010207042163202507,0.9170399784404973
2025-05-02,0.0007919759352399691,0.9177662520350751
2025-05-05,-0.013188984845070917,0.905661846845667
2025-05-06,-0.009175121039253914,0.8973522897802237
2025-05-07,0.0019708614807274066,0.8991208468427941
2025-05-08,0.006632951055441524,0.9050846714128294
2025-05-09,0.0019091553231170566,0.9068126186311288
2025-05-12,0.020804146229120996,0.925678080951543
2025-05-13,-0.0008089273723762141,0.9249292746138525
2025-05-14,-0.01285352677970833,0.9130406714132672
2025-05-15,-0.007721290619651349,0.9059908190417237
2025-05-16,-0.006595547901875193,0.9000153131960749
2025-05-19,-0.0006316379275408956,0.8994468293888926
2025-05-20,-0.00012226316332510003,0.8993368601742888
2025-05-21,-0.04327177534452775,0.8604209576017741
2025-05-22,0.0053401868344828,0.8650157662716722
2025-05-23,-0.026394779643890476,0.8421838657324403
2025-05-27,0.021952019478140183,0.8606715023571743
2025-05-28,-0.0028980211870244243,0.858177258108275
2025-05-29,0.011822139940506349,0.8683227497473911
2025-05-30,-0.011251368362041436,0.8585529306328424
2025-06-02,0.006450105780658133,0.8640906878537182
2025-06-03,0.025621433526726967,0.8862299299736262
2025-06-04,-0.0006063129683675774,0.8856925972741276
2025-06-05,0.011030162975210478,0.8954619309679988
2025-06-06,-0.004326033409486202,0.8915881327377081
2025-06-09,-0.004297653186419517,0.8877563961580741
2025-06-10,0.004462075091602625,0.891717631860782
2025-06-11,-0.007285028851241174,0.8852214431855158
2025-06-12,0.0050030119115564995,0.8896502166101381
2025-06-13,-0.0027894455728825346,0.887168585752001
2025-06-16,-0.00254955016005122,0.8849067049422046
2025-06-17,0.007006945299200679,0.8911071978186306
2025-06-18,0.001981749764785809,0.8928731492983066
2025-06-20,0.006261774257336622,0.8984641193996498
2025-06-23,-0.005264085835978011,0.8937345271545836
2025-06-24,-0.001559580730591953,0.8923406760077686
2025-06-25,-0.0020402787970057873,0.8905200522468041
2025-06-26,0.00289361885561272,0.8930968778612868
2025-06-27,-0.012099318832732228,0.8822910139875254
2025-06-30,0.0013925784748020087,0.8835196734621156
2025-07-01,0.010995559033523533,0.8932344661889478
2025-07-02,0.016196898767907336,0.9077020944138159
2025-07-03,-0.007386315275655142,0.900997520568103
2025-07-07,-0.010907930439530894,0.8911695022875563
2025-07-08,0.01635677378363301,0.9057461602393466
2025-07-09,0.0042714876717673406,0.9096150437965596
2025-07-10,0.005024252759651392,0.9141851796905748
2025-07-11,0.018586007448333386,0.9311762322494599
2025-07-14,-0.003459015313489521,0.9279552794025516
2025-07-15,0.00372393150564157,0.9314109213033452
2025-07-16,-0.003894877992888345,0.927783189403625
2025-07-17,-0.05903380197250413,0.8730126203269531
2025-07-18,0.003142896494723757,0.8757564086312284
2025-07-21,0.012610823103475888,0.8868004177822121
2025-07-22,-0.024946077525942648,0.8646782258101786
2025-07-23,0.0015346567698615319,0.8660052101031701
2025-07-24,0.007784866387754566,0.8727469449549227
2025-07-25,0.00425780491258787,0.8764629311845978
2025-07-28,0.0003149875060385471,0.8767390060574269
2025-07-29,-0.009480181036602017,0.868427361558152
2025-07-30,-0.010036584833649928,0.859711316672011
2025-07-31,0.02017009573826517,0.8770517762365554
2025-08-01,-0.004886949489484148,0.872765668506425
2025-08-04,0.0005594808411555352,0.8732539641767727
2025-08-05,-0.003320058135338505,0.870354710248791
2025-08-06,0.008027049981664147,0.8773410910097348
2025-08-07,-0.017410417664040972,0.86206621618143
2025-08-08,-0.0071129694231021195,0.8559343655450421
2025-08-11,0.005884491843788003,0.8609711043379097
