,Strategy,Ann_Return,Ann_Volatility,Sharpe_Ratio,Max_Drawdown,Avg_Turnover
0,Momentum (12-1),-0.059804954543784206,0.2314117984732165,-0.25843520053151486,-0.5754897453584035,0.039050155843641
1,Mean Reversion (5d),0.0010787575023449847,0.16009505492768897,0.00673823125162881,-0.3928265631325507,0.11504846958949357
2,Low Volatility (63d),-0.16540581182908898,0.25239033085198004,-0.6553571655092244,-0.8827517754445106,0.040755389545755576
