,Strategy,alpha_monthly,alpha_annualised,alpha_pvalue,beta_mkt_rf,pvalue_mkt_rf,beta_smb,pvalue_smb,beta_hml,pvalue_hml,beta_rmw,pvalue_rmw,beta_cma,pvalue_cma,beta_mom,pvalue_mom,r_squared,adj_r_squared
0,Momentum (12-1),-0.541690461292556,-6.500285535510672,0.04984214687973956,-0.11417486287008585,0.08516107526681695,-0.13246749061844762,0.26256132701451435,-0.16126680167319601,0.13170109797448556,-0.22603026471633478,0.12190782114264656,0.06890451936192514,0.661692189856559,0.9415446133591198,1.0758404791816522e-21,0.7233681670022458,0.7086797510908607
1,Mean Reversion (5d),-0.2703899790975483,-3.2446797491705794,0.45101599605790377,0.11030947036645741,0.20232509982623706,-0.03109402335662527,0.840280817715999,0.08504195472987093,0.5417845477037962,0.32866906794209194,0.08599716496287033,-0.12502830623079036,0.5441204188941029,-0.12723614871894728,0.22103829823879234,0.09907425270653636,0.05123748736352052
2,Low Volatility (63d),-1.2496114331636763,-14.995337197964115,0.0005167818899014693,-0.5927180273407562,1.5314916206411475e-10,-0.4675621260931044,0.0023946588114683305,-0.05635231269956295,0.6791274631399636,0.6294855051468952,0.0009551137676912221,0.2777729341009926,0.1695618957184643,0.5011207599497219,2.5419077874591195e-06,0.685076848684974,0.6683552654293088
3,Post-Pairs v1: Staples,0.3109449576101965,3.731339491322358,0.5520644681813058,-0.13986701624140074,0.201863617565636,0.05529268886992859,0.7947955013893666,0.10191933676315867,0.6490658560457613,-0.010829380652271908,0.9635251774910858,-0.13595272351500262,0.6396112960714573,-0.06102819943897101,0.6827405200492813,0.06974854985273837,-0.11630174017671391
4,Post-Pairs v2: Staples,-0.34728135634754215,-4.167376276170506,0.04115374346522142,-0.0785707460439502,0.02681732182725061,0.08043598399544971,0.23473532488028126,-0.04195882299502463,0.5522661734344965,-0.02444675472317092,0.7431863406356001,0.05751669442532113,0.5297873232362127,-0.02670339431161621,0.5704716434929463,0.19491406069477046,0.033896872833724556
