,Basket,Stocks,Ann_Return,Ann_Volatility,Sharpe,Max_Drawdown,Trades,Days_Active,Total_Days,Pct_in_Market
0,Banks,"JPM, BAC, WFC, GS, MS",0.0031026420300015456,0.12579795853822523,0.02466369141482348,-0.1571446758517484,68,621,754,0.8236074270557029
1,Tech_Software,"MSFT, GOOGL, CRM, ADBE, ORCL",-0.0673665069554027,0.23435905238351573,-0.28744998868301064,-0.5126962136535334,67,641,754,0.850132625994695
2,Semis,"NVDA, AMD, AVGO, QCOM, TXN",-0.3559119136668848,0.32404410290071495,-1.0983440540374034,-0.7505656610824817,57,671,754,0.889920424403183
3,Consumer_Staples,"KO, PEP, PG, CL, KHC",0.06041763958147106,0.10747323638731254,0.5621645128814926,-0.10897851992771568,67,659,754,0.8740053050397878
4,Energy,"XOM, CVX, COP, SLB, EOG",0.013390680916955056,0.13813246379244612,0.09694086784027474,-0.19014838389364574,64,642,754,0.8514588859416445
5,Pharma,"JNJ, PFE, MRK, ABT, LLY",-0.14585622797094466,0.1997807779218473,-0.730081389652024,-0.5090636445297598,58,678,754,0.8992042440318302
