,Basket,Ann_Return,Ann_Volatility,Sharpe,Max_Drawdown,Trades,Days_Active,Total_Days,Avg_Filter_Pass_Rate
0,Banks,-0.061769369962443865,0.032932987024799215,-1.8756078795989644,-0.18144405961054774,71,184,754,0.1697841726618705
1,Tech_Software,-0.07862748861884772,0.05530910367515446,-1.4216012083769887,-0.21731319288023032,47,113,754,0.12575539568345323
2,Semis,-0.033661408066040566,0.06653675913406785,-0.5059069378208624,-0.13596173187557342,46,107,754,0.12086330935251799
3,Consumer_Staples,-0.018527953998957125,0.02732276792786667,-0.6781140932672617,-0.08885038501371272,61,169,754,0.16057553956834533
4,Energy,-0.05490825958987999,0.04286416032493193,-1.280982974439432,-0.1854317195516364,67,170,754,0.1493525179856115
5,Pharma,-0.04466016466382372,0.04396004784908836,-1.0159262068398744,-0.15407210735533586,52,135,754,0.13007194244604317
