,Pair,Ann_Return,Ann_Volatility,Sharpe,Max_Drawdown,Trades,Days_in_Market,Total_Days
0,CRM/ADBE,-0.02537159576150727,0.16800488476223766,-0.15101701237683315,-0.2912457030006073,12,461,754
1,PEP/PG,-0.024134448180234025,0.05000932200162098,-0.48259898783374305,-0.08138855196101576,7,281,754
2,KO/PEP,-0.02534727769959122,0.05943970888053825,-0.42643677395079616,-0.11907076213823224,9,315,754
3,KO/PG,-0.007560674821682545,0.07099800258661107,-0.1064913736475785,-0.1699879549256516,17,328,754
